@relation unknow
@attribute sp11 integer [0, 255]
@attribute sp12 integer [0, 255]
@attribute sp13 integer [0, 255]
@attribute sp14 integer [0, 255]
@attribute sp15 integer [0, 255]
@attribute sp16 integer [0, 255]
@attribute sp17 integer [0, 255]
@attribute sp18 integer [0, 255]
@attribute sp19 integer [0, 255]
@attribute sp21 integer [0, 255]
@attribute sp22 integer [0, 255]
@attribute sp23 integer [0, 255]
@attribute sp24 integer [0, 255]
@attribute sp25 integer [0, 255]
@attribute sp26 integer [0, 255]
@attribute sp27 integer [0, 255]
@attribute sp28 integer [0, 255]
@attribute sp29 integer [0, 255]
@attribute sp31 integer [0, 255]
@attribute sp32 integer [0, 255]
@attribute sp33 integer [0, 255]
@attribute sp34 integer [0, 255]
@attribute sp35 integer [0, 255]
@attribute sp36 integer [0, 255]
@attribute sp37 integer [0, 255]
@attribute sp38 integer [0, 255]
@attribute sp39 integer [0, 255]
@attribute sp41 integer [0, 255]
@attribute sp42 integer [0, 255]
@attribute sp43 integer [0, 255]
@attribute sp44 integer [0, 255]
@attribute sp45 integer [0, 255]
@attribute sp46 integer [0, 255]
@attribute sp47 integer [0, 255]
@attribute sp48 integer [0, 255]
@attribute sp49 integer [0, 255]
@attribute class {1, 2, 3, 4, 5, 6, 7}
@inputs sp11, sp12, sp13, sp14, sp15, sp16, sp17, sp18, sp19, sp21, sp22, sp23, sp24, sp25, sp26, sp27, sp28, sp29, sp31, sp32, sp33, sp34, sp35, sp36, sp37, sp38, sp39, sp41, sp42, sp43, sp44, sp45, sp46, sp47, sp48, sp49
@outputs class
@data
78, 92, 93, 73, 67, 88, 89, 69, 67, 84, 85, 62, 76, 94, 94, 72, 76, 94, 94, 68, 68, 85, 82, 65, 80, 87, 91, 70, 80, 95, 91, 74, 71, 87, 87, 70, 4
63, 111, 124, 101, 63, 111, 124, 101, 67, 115, 129, 101, 64, 106, 125, 98, 64, 111, 120, 98, 64, 111, 125, 102, 64, 107, 118, 99, 64, 107, 122, 96, 68, 107, 122, 99, 1
53, 55, 78, 68, 53, 52, 82, 72, 53, 52, 82, 68, 56, 57, 79, 63, 60, 54, 75, 59, 53, 54, 71, 59, 55, 54, 74, 58, 55, 54, 74, 62, 55, 58, 77, 58, 5
84, 103, 108, 85, 80, 99, 104, 81, 71, 83, 87, 59, 79, 107, 104, 87, 84, 99, 104, 83, 71, 83, 81, 62, 82, 104, 112, 89, 82, 100, 104, 89, 78, 96, 104, 81, 3
82, 88, 97, 69, 74, 88, 93, 73, 74, 84, 97, 69, 80, 94, 94, 72, 80, 89, 94, 72, 76, 85, 86, 68, 80, 91, 96, 70, 76, 91, 91, 70, 71, 87, 91, 70, 4
68, 112, 122, 99, 68, 107, 128, 96, 71, 112, 128, 99, 67, 111, 113, 100, 67, 111, 118, 96, 71, 111, 118, 96, 70, 109, 122, 100, 66, 109, 122, 96, 70, 113, 127, 96, 1
66, 100, 108, 89, 63, 100, 112, 92, 63, 109, 122, 96, 67, 95, 101, 83, 67, 95, 101, 86, 67, 99, 114, 86, 67, 84, 89, 76, 63, 79, 85, 73, 67, 84, 93, 76, 1
71, 103, 114, 94, 63, 95, 105, 86, 56, 81, 90, 79, 63, 97, 114, 94, 57, 97, 105, 90, 57, 84, 101, 80, 57, 102, 115, 94, 57, 94, 111, 87, 53, 85, 102, 87, 1
60, 88, 105, 87, 57, 92, 101, 87, 57, 88, 105, 83, 57, 89, 106, 87, 60, 94, 102, 87, 60, 98, 111, 87, 56, 91, 104, 85, 60, 91, 104, 85, 56, 91, 104, 85, 1
84, 106, 111, 94, 76, 102, 111, 91, 64, 98, 111, 91, 80, 107, 118, 96, 71, 99, 108, 88, 60, 95, 108, 88, 79, 111, 118, 96, 67, 99, 113, 92, 55, 87, 104, 87, 1
72, 85, 98, 79, 64, 81, 98, 83, 64, 73, 90, 79, 76, 83, 100, 78, 64, 64, 83, 74, 60, 61, 79, 70, 79, 99, 109, 83, 71, 75, 93, 79, 51, 51, 81, 79, 5
88, 107, 113, 87, 88, 103, 109, 87, 88, 103, 104, 79, 90, 104, 112, 89, 86, 100, 108, 89, 86, 104, 108, 89, 87, 103, 110, 86, 87, 103, 114, 86, 92, 112, 119, 94, 3
63, 100, 112, 89, 63, 104, 108, 92, 63, 100, 108, 96, 59, 91, 110, 86, 63, 99, 110, 94, 63, 95, 105, 90, 60, 97, 105, 87, 63, 92, 110, 94, 63, 92, 105, 87, 1
83, 95, 97, 79, 83, 95, 101, 83, 87, 103, 110, 86, 82, 97, 101, 80, 85, 102, 110, 87, 85, 102, 110, 90, 80, 98, 102, 79, 84, 98, 106, 83, 84, 102, 106, 87, 3
83, 91, 97, 79, 83, 95, 101, 83, 87, 95, 101, 83, 82, 92, 105, 76, 85, 92, 101, 83, 85, 92, 105, 83, 84, 98, 98, 79, 84, 94, 102, 79, 84, 102, 111, 87, 3
56, 91, 108, 89, 52, 83, 100, 81, 49, 75, 92, 78, 52, 84, 97, 86, 52, 81, 97, 79, 52, 73, 90, 79, 50, 79, 101, 83, 50, 75, 93, 80, 50, 71, 89, 80, 1
67, 77, 110, 90, 75, 91, 97, 79, 79, 91, 97, 83, 67, 75, 105, 90, 74, 88, 105, 83, 74, 92, 101, 80, 64, 73, 102, 94, 76, 89, 106, 87, 76, 89, 98, 79, 4
