@relation unknow
@attribute sp11 integer [0, 255]
@attribute sp12 integer [0, 255]
@attribute sp13 integer [0, 255]
@attribute sp14 integer [0, 255]
@attribute sp15 integer [0, 255]
@attribute sp16 integer [0, 255]
@attribute sp17 integer [0, 255]
@attribute sp18 integer [0, 255]
@attribute sp19 integer [0, 255]
@attribute sp21 integer [0, 255]
@attribute sp22 integer [0, 255]
@attribute sp23 integer [0, 255]
@attribute sp24 integer [0, 255]
@attribute sp25 integer [0, 255]
@attribute sp26 integer [0, 255]
@attribute sp27 integer [0, 255]
@attribute sp28 integer [0, 255]
@attribute sp29 integer [0, 255]
@attribute sp31 integer [0, 255]
@attribute sp32 integer [0, 255]
@attribute sp33 integer [0, 255]
@attribute sp34 integer [0, 255]
@attribute sp35 integer [0, 255]
@attribute sp36 integer [0, 255]
@attribute sp37 integer [0, 255]
@attribute sp38 integer [0, 255]
@attribute sp39 integer [0, 255]
@attribute sp41 integer [0, 255]
@attribute sp42 integer [0, 255]
@attribute sp43 integer [0, 255]
@attribute sp44 integer [0, 255]
@attribute sp45 integer [0, 255]
@attribute sp46 integer [0, 255]
@attribute sp47 integer [0, 255]
@attribute sp48 integer [0, 255]
@attribute sp49 integer [0, 255]
@attribute class {1, 2, 3, 4, 5, 6, 7}
@inputs sp11, sp12, sp13, sp14, sp15, sp16, sp17, sp18, sp19, sp21, sp22, sp23, sp24, sp25, sp26, sp27, sp28, sp29, sp31, sp32, sp33, sp34, sp35, sp36, sp37, sp38, sp39, sp41, sp42, sp43, sp44, sp45, sp46, sp47, sp48, sp49
@outputs class
@data
97, 116, 113, 92, 93, 111, 113, 92, 88, 111, 109, 87, 99, 118, 117, 92, 95, 113, 122, 92, 95, 113, 112, 89, 96, 112, 114, 98, 92, 112, 119, 90, 92, 112, 114, 90, 3
92, 108, 114, 94, 92, 108, 114, 90, 96, 108, 110, 90, 93, 111, 114, 94, 89, 111, 114, 87, 93, 111, 110, 87, 88, 106, 111, 91, 84, 106, 111, 83, 84, 98, 102, 83, 3
71, 111, 128, 100, 71, 116, 123, 100, 71, 107, 118, 96, 70, 113, 127, 100, 70, 113, 122, 100, 70, 118, 127, 100, 67, 112, 124, 101, 67, 112, 124, 98, 67, 112, 130, 101, 1
50, 53, 78, 65, 50, 53, 82, 65, 53, 56, 74, 69, 50, 52, 74, 65, 53, 52, 78, 68, 53, 52, 74, 68, 56, 54, 75, 63, 53, 51, 75, 59, 56, 51, 71, 59, 5
67, 111, 119, 94, 63, 111, 124, 94, 67, 111, 119, 97, 68, 111, 115, 98, 64, 111, 125, 102, 68, 111, 120, 98, 71, 112, 122, 96, 68, 112, 122, 99, 64, 112, 122, 99, 1
63, 67, 80, 70, 59, 63, 73, 66, 66, 63, 84, 66, 75, 81, 86, 75, 63, 66, 79, 68, 63, 57, 75, 68, 67, 75, 89, 73, 60, 67, 78, 62, 53, 49, 78, 58, 5
75, 84, 90, 68, 63, 66, 68, 49, 56, 54, 65, 49, 74, 92, 97, 80, 70, 79, 82, 65, 60, 63, 74, 55, 84, 102, 111, 87, 80, 94, 102, 83, 76, 89, 90, 68, 5
71, 108, 119, 98, 67, 108, 119, 98, 63, 112, 114, 98, 67, 111, 114, 94, 67, 106, 119, 97, 67, 106, 114, 94, 64, 98, 106, 91, 64, 106, 115, 94, 64, 106, 115, 94, 1
74, 88, 93, 73, 78, 88, 97, 69, 78, 92, 97, 73, 72, 89, 94, 72, 76, 89, 94, 72, 80, 94, 94, 72, 80, 87, 96, 70, 80, 91, 96, 70, 80, 91, 96, 74, 4
70, 79, 82, 65, 60, 63, 74, 55, 57, 60, 70, 55, 80, 94, 102, 83, 76, 89, 90, 68, 64, 73, 71, 54, 88, 107, 118, 92, 84, 103, 108, 88, 71, 75, 83, 59, 3
63, 91, 105, 90, 59, 91, 105, 86, 59, 91, 101, 86, 57, 92, 110, 87, 57, 88, 101, 87, 57, 88, 101, 83, 57, 81, 94, 79, 57, 81, 90, 76, 57, 81, 90, 76, 1
84, 112, 122, 99, 84, 116, 122, 99, 76, 112, 118, 92, 79, 107, 109, 96, 71, 103, 113, 96, 67, 99, 113, 87, 70, 104, 112, 92, 66, 91, 100, 81, 63, 87, 100, 81, 1
59, 95, 105, 90, 63, 95, 101, 86, 63, 103, 114, 94, 60, 97, 101, 83, 57, 106, 110, 90, 63, 111, 119, 97, 57, 94, 111, 87, 60, 102, 111, 94, 60, 106, 115, 94, 1
60, 95, 113, 92, 68, 103, 118, 92, 64, 103, 118, 96, 67, 99, 109, 92, 67, 103, 113, 92, 67, 107, 118, 96, 63, 96, 112, 89, 63, 100, 112, 89, 63, 104, 108, 92, 1
83, 99, 101, 83, 83, 95, 97, 79, 83, 95, 101, 83, 82, 97, 101, 76, 82, 97, 101, 80, 85, 102, 110, 87, 80, 98, 98, 76, 80, 98, 102, 79, 84, 98, 106, 83, 3
53, 79, 89, 76, 57, 79, 93, 80, 57, 88, 101, 83, 57, 77, 90, 76, 53, 77, 90, 76, 53, 77, 94, 79, 60, 87, 104, 85, 60, 83, 100, 85, 56, 79, 91, 78, 1
71, 103, 113, 96, 71, 107, 123, 100, 71, 111, 118, 96, 70, 104, 112, 96, 70, 100, 112, 92, 70, 100, 112, 96, 71, 108, 114, 94, 75, 108, 119, 98, 75, 103, 119, 98, 1
